Command,Category,Description
mkfs.vfat  report.csv,Linux,
passwd -y disk.img,Linux,
depmod  style.css,Linux,
echo  /etc/,Linux,
umount --verbose archive.tar.gz,Linux,
xargs,Linux,
mdadm -a file2.txt,Linux,
lvreduce  main.py,Linux,
dmsetup,Linux,
resize2fs  report.csv,Linux,
blkid -m docker-compose.yml,Linux,
losetup --recursive /var/log/,Linux,
mkfs.msdos -p usb.img,Linux,
uptime -h app.js,Linux,
bg,Linux,
vmstat -v network.log,Linux,
sudo,Linux,
hostname  script.sh,Linux,
fdisk -h,Linux,
df -c /etc/,Linux,
mkfs.hfsplus,Linux,
grub-mkconfig --recursive report.csv,Linux,
uptime -d,Linux,
tr  file.txt,Linux,
cryptsetup -t backup.tar,Linux,
chattr -h,Linux,
scp -r index.html,Linux,
du  file.txt,Linux,
e2fsck  /home/user/,Linux,
cp,Linux,
visudo  docker-compose.yml,Linux,
fdisk --interactive /var/log/,Linux,
mount --quiet main.py,Linux,
systemctl -h script.sh,Linux,
journalctl,Linux,
df,Linux,
journalctl  kubernetes.yml,Linux,
mkfs.ext4 -z /etc/,Linux,
mkfs --dry-run,Linux,
xargs  style.css,Linux,
umount -a /etc/,Linux,
dracut --verbose script.sh,Linux,
update-grub -z /dev/sda1,Linux,
gpasswd  /usr/local/,Linux,
sort --recursive,Linux,
alias -l style.css,Linux,
mkfs.ntfs  file2.txt,Linux,
iostat --dry-run,Linux,
mkfs.msdos --quiet /mnt/usb,Linux,
whoami  network.log,Linux,
losetup -m,Linux,
iptables  /etc/,Linux,
vgremove --interactive script.sh,Linux,
ping  archive.tar.gz,Linux,
grub2-mkconfig,Linux,
sudoedit  index.html,Linux,
yum  /tmp/,Linux,
lspci -z,Linux,
batch,Linux,
yum -b,Linux,
mkfs.msdos  backup.tar,Linux,
fg -w /dev/sda1,Linux,
df -x,Linux,
chmod --verbose,Linux,
du  config.yaml,Linux,
uniq  dir1,Linux,
initramfs -h file.txt,Linux,
chage -m,Linux,
mkfs.hfsplus --dry-run,Linux,
tune2fs  archive.tar.gz,Linux,
update-initramfs -n usb.img,Linux,
sudo -l playbook.yml,Linux,
echo  disk.img,Linux,
mkpasswd  config.yaml,Linux,
mkfs.msdos --interactive playbook.yml,Linux,
usermod  config.conf,Linux,
cryptdisks_start,Linux,
scp --all script.sh,Linux,
swapoff,Linux,
less  /tmp/,Linux,
lsusb -t,Linux,
du,Linux,
grub2-mkconfig -f archive.tar.gz,Linux,
mkfs.ntfs -x,Linux,
groupdel -y,Linux,
ssh  dir1,Linux,
lvm,Linux,
cd -f file1.log,Linux,
mkfs.msdos --version,Linux,
vgscan,Linux,
netstat  file1.log,Linux,
grub2-install  backup.tar,Linux,
cryptdisks_stop  playbook.yml,Linux,
fsck  index.html,Linux,
blkid -q,Linux,
gdisk -o config.yaml,Linux,
modprobe -e,Linux,
tune2fs  archive.tar.gz,Linux,
uptime  archive.tar.gz,Linux,
ls,Linux,
halt --version,Linux,
journalctl,Linux,
grub-install -g,Linux,
lsof  /dev/sda1,Linux,
sudo,Linux,
lvextend,Linux,
sfdisk -l playbook.yml,Linux,
tr -b,Linux,
mkfs.hfsplus  /mnt/usb,Linux,
vim  logfile.log,Linux,
grub2-install  disk.img,Linux,
tee -z index.html,Linux,
echo -a,Linux,
kill  file.txt,Linux,
visudo,Linux,
update-grub,Linux,
sed,Linux,
ifconfig  script.sh,Linux,
sar -r,Linux,
cryptsetup  network.log,Linux,
kpartx --recursive backup.tar,Linux,
setfacl  usb.img,Linux,
mv,Linux,
vgscan -l,Linux,
mkfs.hfsplus  /mnt/usb,Linux,
lvscan,Linux,
usermod  docker-compose.yml,Linux,
grub2-mkconfig,Linux,
dmidecode,Linux,
mkfs.ntfs -r,Linux,
echo -u config.conf,Linux,
echo,Linux,
pvscan  dir1,Linux,
fdisk --verbose,Linux,
insmod  output.txt,Linux,
e2fsck -x dir2,Linux,
touch  main.py,Linux,
mount  main.py,Linux,
netstat -p /home/user/,Linux,
lvextend  playbook.yml,Linux,
getfacl  playbook.yml,Linux,
lsmod,Linux,
umount --interactive,Linux,
cryptsetup -f,Linux,
grep -p config.conf,Linux,
mkfs.btrfs -n app.js,Linux,
groupdel --version,Linux,
route,Linux,
lsmod -t /etc/,Linux,
crontab -b playbook.yml,Linux,
dracut  file2.txt,Linux,
pvmove,Linux,
rmmod  dir2,Linux,
mkfs.xfs -s,Linux,
passwd  network.log,Linux,
lsattr  file1.log,Linux,
dmidecode  style.css,Linux,
rsync,Linux,
export  /var/log/,Linux,
updatedb  logfile.log,Linux,
head,Linux,
visudo,Linux,
lvcreate -u file2.txt,Linux,
visudo -p usb.img,Linux,
fdisk  file1.log,Linux,
less  style.css,Linux,
partprobe,Linux,
nohup -c report.csv,Linux,
nohup  backup.tar,Linux,
pvresize -z,Linux,
grub2-install  kubernetes.yml,Linux,
vgremove,Linux,
df  report.csv,Linux,
gpasswd -q,Linux,
apt-get --quiet,Linux,
pvdisplay,Linux,
mkfs.ext4,Linux,
initramfs -u,Linux,
pkill --recursive,Linux,
mkfs.msdos -z,Linux,
cryptsetup -w disk.img,Linux,
update-grub -c,Linux,
swapoff,Linux,
man,Linux,
depmod --recursive logfile.log,Linux,
lvextend --dry-run,Linux,
vmstat -v network.log,Linux,
lsof -i index.html,Linux,
uptime  style.css,Linux,
head,Linux,
uname --help docker-compose.yml,Linux,
ping -f,Linux,
lvscan  playbook.yml,Linux,
watch,Linux,
e2fsck -e /dev/sda1,Linux,
lvm  disk.img,Linux,
mkinitrd,Linux,
vim --help docker-compose.yml,Linux,
wget --interactive file2.txt,Linux,
initramfs -w /mnt/usb,Linux,
kpartx --all config.conf,Linux,
cfdisk --interactive,Linux,
mkfs.hfsplus  file2.txt,Linux,
wget -n playbook.yml,Linux,
locate  kubernetes.yml,Linux,
insmod --dry-run,Linux,
grub2-mkconfig,Linux,
lsmod --all,Linux,
uname  network.log,Linux,
gzip --recursive usb.img,Linux,
umount,Linux,
man -q,Linux,
mkfs.btrfs,Linux,
free -u file1.log,Linux,
grub2-mkconfig,Linux,
lvreduce --all,Linux,
passwd --all,Linux,
chattr -v,Linux,
ls -c,Linux,
lsof -m,Linux,
gunzip,Linux,
mount -h /home/user/,Linux,
visudo --recursive,Linux,
cp -q,Linux,
pvscan,Linux,
tune2fs,Linux,
ps,Linux,
cryptsetup  network.log,Linux,
lvcreate  /home/user/,Linux,
wget --quiet network.log,Linux,
pip install package,Python,Installs a Python package using pip
ftp  docker-compose.yml,Linux,
mkinitrd,Linux,
dmesg,Linux,
grub-install,Linux,
wget,Linux,
resize2fs -o,Linux,
lsattr -f docker-compose.yml,Linux,
blkid,Linux,
sudoedit  config.yaml,Linux,
df  usb.img,Linux,
wget -z,Linux,
tr,Linux,
update-initramfs --help,Linux,
mkfs.xfs -s file2.txt,Linux,
partprobe -a backup.tar,Linux,
resize2fs  report.csv,Linux,
pvscan --help,Linux,
uname -d dir2,Linux,
lvreduce  /mnt/usb,Linux,
more  dir1,Linux,
vgscan  /usr/local/,Linux,
grub-mkconfig  main.py,Linux,
strace -f,Linux,
hostname -p kubernetes.yml,Linux,
df -w,Linux,
mkfs.vfat,Linux,
lvextend  kubernetes.yml,Linux,
mkfs.vfat  file1.log,Linux,
passwd -m,Linux,
lvreduce -z /srv/www/,Linux,
scp -e /var/log/,Linux,
vim  /home/user/,Linux,
pwd,Linux,
locate  kubernetes.yml,Linux,
uname -h /var/log/,Linux,
journalctl -h script.sh,Linux,
grub2-mkconfig --all,Linux,
blkid,Linux,
grub2-install -x script.sh,Linux,
pvmove,Linux,
passwd  file2.txt,Linux,
lsof,Linux,
vgcreate --help,Linux,
initramfs  /etc/,Linux,
scp -w dir2,Linux,
lvscan,Linux,
cryptdisks_stop -v report.csv,Linux,
gzip,Linux,
at  style.css,Linux,
mkinitrd,Linux,
jar cf jarfile.jar *.class,Java,Creates a JAR file
rsync --recursive,Linux,
du --help docker-compose.yml,Linux,
userdel  script.sh,Linux,
mv -i,Linux,
groupmod  backup.tar,Linux,
sed --version app.js,Linux,
gpasswd,Linux,
pwd -a,Linux,
mkdir -o index.html,Linux,
mount -h,Linux,
update-grub -c backup.tar,Linux,
hostname,Linux,
sed -c config.yaml,Linux,
cp  /etc/,Linux,
tune2fs,Linux,
update-grub,Linux,
ftp  /mnt/usb,Linux,
du  logfile.log,Linux,
df --quiet,Linux,
modprobe  config.conf,Linux,
logrotate,Linux,
dracut  /var/log/,Linux,
chpasswd  logfile.log,Linux,
mount  config.conf,Linux,
stat -x,Linux,
update-grub  /usr/local/,Linux,
pvdisplay -u report.csv,Linux,
vgremove -f,Linux,
tune2fs,Linux,
watch,Linux,
head --interactive output.txt,Linux,
du,Linux,
touch -u,Linux,
tr,Linux,
lsblk  config.conf,Linux,
gdisk -o config.yaml,Linux,
mkinitrd --interactive network.log,Linux,
htop -e output.txt,Linux,
shutdown,Linux,
updatedb,Linux,
cp -q,Linux,
df -g,Linux,
cryptsetup -p network.log,Linux,
lvcreate -w,Linux,
find -c backup.tar,Linux,
lvcreate  dir1,Linux,
sed --interactive dir1,Linux,
lvreduce -g,Linux,
lspci --quiet,Linux,
vgcreate -y,Linux,
crontab  kubernetes.yml,Linux,
kill  docker-compose.yml,Linux,
rm,Linux,
ftp --quiet archive.tar.gz,Linux,
dmidecode  playbook.yml,Linux,
mkfs.xfs -z playbook.yml,Linux,
man -p main.py,Linux,
losetup --verbose /usr/local/,Linux,
vmstat -n,Linux,
uptime -o,Linux,
sort,Linux,
insmod,Linux,
cp -t report.csv,Linux,
curl,Linux,
mkfs.ntfs --version file.txt,Linux,
umount  config.yaml,Linux,
dracut -m config.yaml,Linux,
gunzip  usb.img,Linux,
ifconfig  file.txt,Linux,
grub-mkconfig -v,Linux,
less  /dev/sda1,Linux,
scp -s,Linux,
mkdir -r archive.tar.gz,Linux,
date --all app.js,Linux,
vmstat,Linux,
gunzip --interactive /usr/local/,Linux,
ssh  main.py,Linux,
mkfs,Linux,
sar -x /var/log/,Linux,
mount -x,Linux,
du --force /mnt/usb,Linux,
chmod  file1.log,Linux,
dmesg,Linux,
crontab -a,Linux,
lvreduce --interactive output.txt,Linux,
parted  /etc/,Linux,
cryptdisks_start --dry-run,Linux,
lvm,Linux,
grub-install --interactive,Linux,
vgcreate --dry-run,Linux,
dracut -o,Linux,
more  main.py,Linux,
lvremove -h /var/log/,Linux,
free  dir1,Linux,
htop -q,Linux,
lsblk,Linux,
yum -x /srv/www/,Linux,
dmstats  style.css,Linux,
lspci --quiet,Linux,
killall  usb.img,Linux,
whoami -i,Linux,
useradd --all,Linux,
free -l /srv/www/,Linux,
lvscan --recursive main.py,Linux,
vgdisplay -i file1.log,Linux,
pvcreate,Linux,
mkpasswd,Linux,
pwd,Linux,
lsof -v usb.img,Linux,
free,Linux,
pvcreate,Linux,
bg --version docker-compose.yml,Linux,
mount  /mnt/usb,Linux,
uptime --dry-run,Linux,
lvm -a,Linux,
passwd  /var/log/,Linux,
logrotate  playbook.yml,Linux,
groupmod,Linux,
mkfs.ext4,Linux,
apt-get -n,Linux,
df -n,Linux,
modinfo  disk.img,Linux,
mkfs.minix,Linux,
touch  /home/user/,Linux,
getfacl -u /mnt/usb,Linux,
jobs --force,Linux,
swapoff -q file.txt,Linux,
pwd -z file1.log,Linux,
mkfs.ntfs --all,Linux,
update-grub,Linux,
lvscan --quiet file2.txt,Linux,
hostname,Linux,
mkfs -n app.js,Linux,
ftp,Linux,
at -t config.yaml,Linux,
sftp  /dev/sda1,Linux,
lspci,Linux,
grub-mkconfig -c /dev/sda1,Linux,
groupadd -q dir1,Linux,
update-grub,Linux,
fdisk  playbook.yml,Linux,
blkid  network.log,Linux,
dmidecode  style.css,Linux,
date  dir2,Linux,
grub-mkconfig,Linux,
chgrp -z,Linux,
lvcreate -x /mnt/usb,Linux,
lvcreate -l,Linux,
uniq  kubernetes.yml,Linux,
mkpasswd --help,Linux,
hostname  script.sh,Linux,
lvm,Linux,
date -m,Linux,
pvmove  playbook.yml,Linux,
curl -y,Linux,
export  dir1,Linux,
dnf -y usb.img,Linux,
nano  backup.tar,Linux,
su -t /etc/,Linux,
mount,Linux,
visudo,Linux,
chmod  /home/user/,Linux,
chpasswd -c /usr/local/,Linux,
killall -c,Linux,
mkfs.btrfs  archive.tar.gz,Linux,
lsblk -a /srv/www/,Linux,
fdisk -q,Linux,
grub2-install  /tmp/,Linux,
iostat  script.sh,Linux,
initramfs -q docker-compose.yml,Linux,
mkfs.msdos,Linux,
env -a backup.tar,Linux,
iptables --dry-run,Linux,
whoami  usb.img,Linux,
vgreduce,Linux,
groupmod,Linux,
lvdisplay  kubernetes.yml,Linux,
sudo -w disk.img,Linux,
df  usb.img,Linux,
chmod  /tmp/,Linux,
rmdir  archive.tar.gz,Linux,
grub2-install -m,Linux,
rmdir -z style.css,Linux,
htop --verbose,Linux,
tail -v archive.tar.gz,Linux,
grub-mkconfig -t main.py,Linux,
whoami -l main.py,Linux,
rsync,Linux,
grub2-mkconfig  output.txt,Linux,
cfdisk  /etc/,Linux,
pvscan,Linux,
reboot -d disk.img,Linux,
flutter doctor,Flutter,Shows Flutter environment setup status
df --help file1.log,Linux,
man --recursive kubernetes.yml,Linux,
lvextend -e /srv/www/,Linux,
killall  file2.txt,Linux,
ls  /mnt/usb,Linux,
sort,Linux,
dmstats  dir2,Linux,
mkfs.vfat  file1.log,Linux,
blkid,Linux,
rmdir -o file1.log,Linux,
jobs,Linux,
pvdisplay,Linux,
chpasswd -h,Linux,
dracut,Linux,
systemctl --help /usr/local/,Linux,
pvmove,Linux,
df -o,Linux,
blkid -l playbook.yml,Linux,
cryptdisks_stop  logfile.log,Linux,
mkfs.vfat -d,Linux,
lvextend --dry-run docker-compose.yml,Linux,
umount -y,Linux,
mkfs --verbose,Linux,
mkfs.hfsplus,Linux,
swapon --interactive dir2,Linux,
xargs,Linux,
locate --quiet,Linux,
nano -t style.css,Linux,
mdadm,Linux,
swapon  /var/log/,Linux,
sudo  config.yaml,Linux,
passwd  config.conf,Linux,
mkfs.msdos -z,Linux,
grub-install --all /dev/sda1,Linux,
pvscan -o,Linux,
lvremove  dir1,Linux,
batch,Linux,
losetup  /mnt/usb,Linux,
lsblk,Linux,
fsck  dir1,Linux,
gunzip  /usr/local/,Linux,
grub-mkconfig -p /srv/www/,Linux,
groupadd --dry-run kubernetes.yml,Linux,
blkid -r /tmp/,Linux,
lsblk  config.conf,Linux,
du -b style.css,Linux,
resize2fs -z script.sh,Linux,
modprobe --recursive,Linux,
uname --all /srv/www/,Linux,
df  docker-compose.yml,Linux,
alias -p playbook.yml,Linux,
top -z app.js,Linux,
mkfs --force,Linux,
lvdisplay  style.css,Linux,
xargs -r,Linux,
tr,Linux,
htop,Linux,
mkinitramfs,Linux,
wget,Linux,
chgrp  backup.tar,Linux,
mount -h,Linux,
sfdisk,Linux,
sar,Linux,
grub-install  /etc/,Linux,
grub-mkconfig -e,Linux,
grub2-install,Linux,
losetup -p,Linux,
wget,Linux,
awk --recursive,Linux,
man -b /srv/www/,Linux,
umount  /usr/local/,Linux,
pvcreate -t archive.tar.gz,Linux,
cryptsetup  playbook.yml,Linux,
grub2-mkconfig,Linux,
sftp,Linux,
scp -e,Linux,
tune2fs --help /var/log/,Linux,
pwd --all,Linux,
lsof -h /srv/www/,Linux,
mkfs.ext4 --version,Linux,
groupmod  app.js,Linux,
fdisk -v,Linux,
ftp  config.yaml,Linux,
mount --version /etc/,Linux,
lspci -t,Linux,
mount,Linux,
kpartx -l backup.tar,Linux,
iptables -a file1.log,Linux,
uptime -o,Linux,
pvdisplay -s,Linux,
parted --verbose usb.img,Linux,
route -b,Linux,
systemctl,Linux,
xargs -p playbook.yml,Linux,
chgrp -z,Linux,
at,Linux,
dmsetup -n main.py,Linux,
hostname --all file.txt,Linux,
pvdisplay -l /dev/sda1,Linux,
grub2-install  archive.tar.gz,Linux,
lsblk  config.conf,Linux,
grub2-install -a,Linux,
lsblk -z /mnt/usb,Linux,
mkfs.ntfs -t,Linux,
grub-mkconfig  file1.log,Linux,
dmesg --help /tmp/,Linux,
bg,Linux,
more -n,Linux,
lsblk  script.sh,Linux,
visudo  dir1,Linux,
ftp --dry-run,Linux,
lvremove  dir2,Linux,
dmsetup  file2.txt,Linux,
resize2fs -h,Linux,
blkid --all output.txt,Linux,
losetup -q,Linux,
less  /dev/sda1,Linux,
pkill -y,Linux,
ln -a file2.txt,Linux,
mkfs.hfsplus -f,Linux,
kpartx -s,Linux,
partprobe  /usr/local/,Linux,
pvcreate  logfile.log,Linux,
mkfs.msdos  config.yaml,Linux,
find,Linux,
mkfs.msdos -z,Linux,
pwd  index.html,Linux,
apt-get -u,Linux,
